correct,incorrect,total_edits
"Unfortunately , the music was a bit too loud for my taste .","Unfortunately , the music was a bit too loud for my taste .",0
"She is very brave , it does n't matter how difficult the problem is , the most important thing is to carry on .","She is very brave , it does n't matter how difficult the problem is , the most important thing is to carry on .",0
Television provides a variety of educational channels as well .,Television provides educated varieties of channels as well .,1
Cohen 's knowledge is that playing the lottery is not automatically irrational .,Cohen 's knwoledge is that playing the lottery is not automatically irrational .,1
"Let me know your opinion whenever you are ready ,","Let me know your opinion whenever you are ready ,",0
"When I was in Bali , I had a great night that I will always remember .","When I was in Bali , I had a great night that I always remember .",1
It is suitable for 68976 people .,It is suitable for 68976 people .,0
"All my yoga lessons and massage sessions are conducted in line with the Correct Approach to Spine ( CAS ) method , so they are very safe and based on scientific theory .","All my yoga lessons and massage sessions are conducted in line with Correct Approach to Spine ( CAS ) method , so they are very safe and based on scientific reason .",2
All the best,All the best,0
I was part of the team !,I was part of the team !,0
All this to be in your perfect healthy body .,All this to be in your perfect healthy body .,0
"Not only can foreign languages become a huge advantage to me , they can also bring me satisfaction and gratification .","Not only can foreign languages become a huge advantage to me , it can also bring me satisfaction and gratification .",1
I 'm a hard - working person and I like children .,I 'm a worker person and I like children .,1
"I am very lucky because not far from my home there are three parks , so I can practise this sport whenever I want .",I am very lucky because not far from my home there are three parks so I can practise this sport whenever I want .,1
"Although the heat in the kitchen can burn us , the smile on the customers ' faces gives us the best courage .","Although the heat in the kitchen could burn us , the smile on the customers gives the best courage .",3
I live in a small city in the middle of Vietnam .,I live in a small city in the middle of Vietnam .,0
The arena could hold about 70000 seats and the arena was about 75 x 46 meters and about 50 meters high .,The arena could hold about 70000 seats and the arena was about 75 x 46 meters and about 50 meters high .,0
from,from,0
I got cold feet . I could n't understand what was happening .,I got cold feet I could n't understand what was happening .,1
"Despite this , travelling by public transport can be a better option in so many cases .","Despite , travelling by public transport can be a better option in so many cases .",1
Hi Jenny,"Hi , Jenny",1
"Without a doubt , this valuable experience let me know the importance of taking responsibility for my own learning .","Without a doubt , this valuable experience let me know the importance of taking responsibility to my own learning .",1
I 'll write soon !,I 'll write soon !,0
I agree with this point .,I agree with this point .,0
Her parents and her sister are still looking for her .,Her parents and her sister still looking for her .,1
"In the following days , we mostly had bread and sandwiches for our meals .","In the next following days , we mostly had bread and sandwiches for our meals .",1
Everyone will love the appetizers and main courses served there .,Everyone will love the appetizers and main courses served there .,0
"In addition to that , I love children and I usually look after four children , aged from seven to eleven , every Saturday .","In addition to that , I love children and I usually look after four children , aged from seven to eleven , every Saturday .",0
"Cars are handy and driving can be pleasant , but only when the driver is in a good mood , with no traffic jams or craters on the road ( really common situations in Brazil ) .","cars are handy and driving can be pleasant , but only when the driver is in good mood , with no traffic jams or craters on the road ( really common situations in Brazil ) .",2
I knew it was the beginning of a great friendship .,I knew it was the beginning of a great friendship .,0
"Although Brazilians have a shorter personal space in comparison with the United States , they are not tolerant of strangers invading it .","Although the Brazilians have a shorter personal space in comparison with the United States , they are no tolerant with strangers invading it .",3
"Once upon a time , there was a mason called Nick who had a family of four , two sons and his wife , but they had conflicts about their children 's studies , and because the money he earned was not enough to maintain the whole family they lived in poverty .","Once upon a time a mason called Nick that had a family of four , two sons and his wife but they had conflicts with the studies of their children , the money he earned was not enough to maintain the whole family they were in poverty .",8
"So , this is the advice that I would give them .",So these are the advice that i give for them .,6
"When I went back , a policeman asked him not to smoke , so he was angry for the whole flight .","When I went back , a policeman asked him not to smoke , so he was angry during the whole flight .",1
"Dear friend ,","Dear friend ,",0
"Joey is ... well , he 's Joey : not so clever , a great one for the girls , and -the most important- Chandler 's best friend .","Joey is ... well , he 's Joey : not so clever , a great one for the girls and -the most important- Chandler 's best friend .",1
Britain alone escaped almost unscathed from these years of unrest .,Britain alone escaped almost unscathed from these years of unrest .,0
This job in Development would enable me to transfer my learned proficiency into practice in your company .,This job in Development would enable me to transfer my learned proficiency into practice in your company .,0
There 's a pleasant historical centre and a monumental castle located on the big rock .,There 's a pleasant historical centre and a monumental castle placed on the big rock .,1
Thank you so much !,Thank you so much !,0
I hope your arrival was successful and you have been enjoying our town .,I hope your arrival was successful and you have been enjoying our town .,0
